column,nan_fraction,zero_fraction,min,max,mean,std,n
PBLH,0.0,0.0,10.0,2570.0,641.7711858880302,330.71338775164327,920070
RH,0.0,0.0,17.0,100.0,70.74147510515505,17.506643233279167,920070
aqi_obs,0.0,0.0,14.0,152.0,44.66175943134761,15.32413057482556,920070
epoch,0.0,0.0,1704088800.0,1731823200.0,1717926039.968698,8008754.485398198,920070
lat,0.0,0.0,41.56,42.11,41.8333383003467,0.16783648209346202,920070
lon,0.0,0.0,-87.88,-87.51,-87.69212190376818,0.12050911366611745,920070
pm25_obs,0.0,0.0,0.3,51.1,10.310924168813242,5.599964424253467,920070
theta,0.0,8.803677981023183e-05,0.0,6.283185307,3.20840954898531,1.7341851121648373,920070
U,0.0,0.00017063919049637528,-59.76357146,51.52270307,2.37254801259167,10.901487182236552,920070
T,0.0,0.0028813025095916615,-26.9,36.7,13.072243416261806,10.183047974890426,920070
congestion,0.0,0.11215668373058571,0.0,1.0,0.1699146369297988,0.1633549005225754,920070
p_impervious,0.0,0.29662851739541557,0.0,1.0,0.6244917234558239,0.4638920155738649,920070
p_water,0.0,0.7033714826045845,0.0,1.0,0.28314754312171897,0.44770784427746285,920070
precip,0.0,0.8642222874346517,0.0,29.0,0.1201859641114263,0.6318997879625451,920070
p_wetland,0.0,0.8911430652015607,0.0,0.93,0.03784812025171998,0.14010106283573065,920070
p_grass,0.0,0.9497559968263284,0.0,0.04,0.0020097601269468625,0.00873792608656627,920070
p_cultivated,0.0,0.9748779984131642,0.0,0.01,0.0002512200158683578,0.0015649572914824017,920070
p_pasture,0.0,0.9748779984131642,0.0,0.03,0.0007536600476050738,0.004694871874447205,920070
p_barren,0.0,0.9916267240536046,0.0,0.05,0.0004186637973197692,0.004556087471949626,920070
ndvi_z,0.17350745052006913,0.0,-4.106719205,2.89645248,0.0002761591846873689,1.000000619389268,920070
